item number,sprint part number,quantity,total quantity
1,TB-ASM-02-04,1,1
1.1,TB-ASM-02-03,1,1
1.1.1,TB-ASM-02-06,1,1
1.1.1.1,TB-ASM-02-06-PT-1,1,1
1.1.1.2,TB-ASM-02-06-PT-4,1,1
1.1.1.3,TB-ASM-02-06-PT-5,1,1
1.1.1.4,TB-ASM-02-06-PT-6,1,1
1.1.1.5,TB-ASM-02-06-PT-7,4,4
1.1.1.6,TB-ASM-02-06-PT-8,1,1
1.1.1.7,TB-ASM-02-06-PT-9,1,1
1.1.1.8,TB-ASM-02-06-PT-10,1,1
1.1.1.9,TB-ASM-02-06-PT-2,1,1
1.1.1.10,TB-ASM-02-06-PT-11,2,2
1.1.2,TB-PRT-02-02,1,1
1.1.3,TB-PRT-02-28,1,1
1.2,TB-PRT-02-20,1,1
1.3,TB-PRT-02-01,1,1
1.4,TB-PRT-02-09,2,2
1.5,FIX CSKM3x12,8,8
1.6,FIX CSKM3x20,16,16
1.7,FIX PHM3x8,10,10
1.8,FIX CSKM2.5x8,2,2
1.9,FIX CSKM3x10,6,6
1.10,FIX FWM3,26,26
1.11,FIX M3 STDN,16,16
1.12,FIX PHM3x10,24,24
1.13,FIX CSKM3x16,2,2
1.14,FIX CSKM3x8,21,21
1.15,FIX PHM3x6,10,10
1.16,FIX CSKM4x12,4,4
1.17,TB-ASM-02-08,2,2
1.17.1,TB-PRT-02-10,1,2
1.17.2,TB-PRT-02-11,1,2
1.17.3,TB-PRT-02-12,1,2
1.17.4,fIX-ECM8,1,2
1.17.5,FIX-SP2.5X10,2,4
1.17.6,SP-001,1,2
1.17.7,SP-002,1,2
1.18,TB-ASM-02-08,2,2
1.18.1,TB-PRT-02-10,1,2
1.18.2,TB-PRT-02-11,1,2
1.18.3,TB-PRT-02-12,1,2
1.18.4,fIX-ECM8,1,2
1.18.5,FIX-SP2.5X10,2,4
1.18.6,SP-001,1,2
1.18.7,SP-002,1,2
1.19,TB-PRT-02-13-01,2,2
1.20,TB-PRT-02-13-02,1,1
1.21,TB-PRT-02-13-03,1,1
1.22,TB-PRT-02-13-04,1,1
1.23,TB-PRT-02-22,2,2
1.24,TB-PRT-02-26,2,2
1.25,FIX PWM3,24,24
1.26,SP-007,1,1
1.27,SP-005,1,1
1.28,SP-003,1,1
1.29,SP-004,1,1
2,TB-ASM-02-02,1,1
2.1,FIX BHM3x8,5,5
2.2,FIX CSKM3x6,11,11
2.3,FIX BHM3x6,14,14
2.4,FIX CSKM3x10,6,6
2.5,FIX CSKM4x10,4,4
2.6,TB-PRT-02-24,1,1
2.7,TB-PRT-02-25,1,1
2.8,TB-PRT-02-16,2,2
2.9,TB-PRT-02-17,4,4
2.10,TB-PRT-02-18,1,1
2.11,TB-PRT-02-15,1,1
2.12,TB-ASM-02-01,1,1
2.12.1,TB-ASM-02-01-PRT-2,1,1
2.12.2,TB-ASM-02-01-PRT-3,1,1
2.12.3,TB-ASM-02-01-PRT-4,2,2
2.12.4,TB-ASM-02-01-PRT-1,1,1
2.13,TB-ASM-02-11,1,1
2.13.1,TB-PRT-02-04,1,1
2.13.2,FIX SCNM2.5,5,5
2.14,TB-PRT-02-27,2,2
2.15,TB-PRT-02-21,1,1
2.16,SP-006,1,1
3,TB-ASM-02-07,1,1
3.1,TB-PRT-02-05,1,1
3.2,TB-PRT-02-07,1,1
3.3,TB-PRT-02-08,1,1
3.4,TB-PRT-01-15-B,1,1
4,TB-ASM-02-07,2,2
4.1,TB-PRT-02-05,1,2
4.2,TB-PRT-02-07,1,2
4.3,TB-PRT-02-08,1,2
4.4,TB-PRT-01-15-B,1,2
5,TB-ASM-02-07,8,8
5.1,TB-PRT-02-05,1,8
5.2,TB-PRT-02-07,1,8
5.3,TB-PRT-02-08,1,8
5.4,TB-PRT-01-15-A,1,8
6,,2,2
6.1,,2,4
6.2,,4,8
6.3,,4,8
6.4,FIX BHM3x12,2,4
6.5,FIX M3 STDN,2,4
6.6,FIX-NSM3X3,4,8
