sprint part number,total quantity
,22
FIX BHM3x12,4
FIX BHM3x6,14
FIX BHM3x8,5
FIX CSKM2.5x8,2
FIX CSKM3x10,12
FIX CSKM3x12,8
FIX CSKM3x16,2
FIX CSKM3x20,16
FIX CSKM3x6,11
FIX CSKM3x8,21
FIX CSKM4x10,4
FIX CSKM4x12,4
FIX FWM3,26
FIX M3 STDN,20
FIX PHM3x10,24
FIX PHM3x6,10
FIX PHM3x8,10
FIX PWM3,24
FIX SCNM2.5,5
FIX-NSM3X3,8
FIX-SP2.5X10,8
SP-001,4
SP-002,4
SP-003,1
SP-004,1
SP-005,1
SP-006,1
SP-007,1
TB-ASM-02-01,1
TB-ASM-02-01-PRT-1,1
TB-ASM-02-01-PRT-2,1
TB-ASM-02-01-PRT-3,1
TB-ASM-02-01-PRT-4,2
TB-ASM-02-02,1
TB-ASM-02-03,1
TB-ASM-02-04,1
TB-ASM-02-06,1
TB-ASM-02-06-PT-1,1
TB-ASM-02-06-PT-10,1
TB-ASM-02-06-PT-11,2
TB-ASM-02-06-PT-2,1
TB-ASM-02-06-PT-4,1
TB-ASM-02-06-PT-5,1
TB-ASM-02-06-PT-6,1
TB-ASM-02-06-PT-7,4
TB-ASM-02-06-PT-8,1
TB-ASM-02-06-PT-9,1
TB-ASM-02-07,11
TB-ASM-02-08,4
TB-ASM-02-11,1
TB-PRT-01-15-A,8
TB-PRT-01-15-B,3
TB-PRT-02-01,1
TB-PRT-02-02,1
TB-PRT-02-04,1
TB-PRT-02-05,11
TB-PRT-02-07,11
TB-PRT-02-08,11
TB-PRT-02-09,2
TB-PRT-02-10,4
TB-PRT-02-11,4
TB-PRT-02-12,4
TB-PRT-02-13-01,2
TB-PRT-02-13-02,1
TB-PRT-02-13-03,1
TB-PRT-02-13-04,1
TB-PRT-02-15,1
TB-PRT-02-16,2
TB-PRT-02-17,4
TB-PRT-02-18,1
TB-PRT-02-20,1
TB-PRT-02-21,1
TB-PRT-02-22,2
TB-PRT-02-24,1
TB-PRT-02-25,1
TB-PRT-02-26,2
TB-PRT-02-27,2
TB-PRT-02-28,1
fIX-ECM8,4
